Final List of Articles,Balanace,Researcher notes about benefits,Researcher notes about risks,"Risks or benefits that weren't metnioned, but may be relevant",Tone towards AI,1-2 sentence summary,Application,Other comments worth calling out
2024-07-25 - MWS - Massey University working on g,Both Risks and Benefits,"Doesn't actually talk about a concrete benefit - most of the time, indicates that AI is impacting work, but doesn't even say it's positive or negative. ","Doesn't actually talk about a concrete benefit - most of the time, indicates that AI is impacting work, but doesn't even say it's positive or negative. ",,Ambivalent,"Describes a university oversight group that is looking into how AI is used at the university, including risks and benefits. ",Concrete/existing,
2024-07-25 - RNZ - Killer robot advisory group sh,Both Risks and Benefits,,,,Ambivalent,"Describes current use of autonomous weapons in international wars, as well as international governance efforts and New Zealand Government's decision to diband an advisory group on autonomous weapons systems. ",Both concrete and potential,Talks about current and near-term progress expected in autonomous weapons systems
2024-07-27 - STF - Meet the professor making the,Both Risks and Benefits,,,,Negative,Descibes responses of university lecturers to an increase in cheating due to availability of AI tools,Concrete/existing,
2024-07-28 - NZH - Has Soul Machines missed AI bo,Both Risks and Benefits,,"Human independence: They're talking about using customer service bots that can interface in natural language and facial expressions, which indicates that they intend to move customer service functions to be viable without a human carrying out a video call, so I've coded this as refering to the benefit of ""human independence"" ",,Positive,"A summary of Soul Machine's current technology and economic standing, describes the AI avatars they create and current market pressures. ",Concrete/existing,
2024-07-31 - NAD - Future farming- Why not combin,Only Benefits,,,,Positive,Describes a new technology that uses lasers and AI to identify and kill weeds. ,Concrete/existing,
2024-08-01 - GHT - Cameras cause delay Councillor,Both Risks and Benefits,,,,Neutral,The local council's CCTV policy is preventing the start of a trial for slower traffic on a street in Gisbourne. ,Concrete/existing,"The cameras are the reason for the delay in the trial, but the article is mostly about the trial. Included as an article in my sample because the use of AI cameras was the news peg. While it's negative that the trial cannot start because of the CCTV policy, there is no negativity directed towards AI technology in the article, so I've classed this article as neutral."
2024-08-01 - RNZ - Can only damage trust - NZME u,Both Risks and Benefits,,"Damage of trust is an example of loss of consensus of reality, and pollution of the information environment using AI-generated content (Risk 3.2). The references to a degradation in quality of service, that NZME's editorial was decreasing in quality, is an example of AI use on a creative task decreasing the quality in comparison to human writers (Risk 6.3). ","It notably doesn't reference potential job loss of journalists as a result of AI being able to do their job (indeed, it points to a perspective where AI cannot adequately do these tasks, and therefore aren't likely to replace jobs). ",Ambivalent,Experts comment on the recent use of AI to write an editorial by NZME.,Concrete/existing,"Describes some good uses of AI for journalism, but mostly describes negatives of using it. Overall tone is balanced and ambivalent. "
2024-08-02 - RNZ - NZ joins US military exercises,Both Risks and Benefits,,"AI helping to develop weapons (Risk 4.2), as well as the current development of AI/autonomous weapons that are lethal (Risk 7.2) both apply. There's a reference to race dynamic (Risk 6.4) as well as reference to the difficulty governing these systems. ",,Neutral,"Describes use of AI to develop new weapons as well as integration of AI into weapons, relating this to NZ's training exercises with allies. ",Both concrete and potential,Talks about current tech and also development of new technology that isn't yet operational. 
2024-08-02 - RNZ - NZME calls all-staff meeting a,Only Risks,,"Damage of trust is referring to loss of shared information environment and degradation of trust due to use of AI-generated materials. Therefore, Risk 3.2.",,Negative,Provides information about an upcoming meeting at NZME to discuss AI use for journalism,Concrete/existing,
2024-08-02 - RNZ - When an algorithm is your boss,Both Risks and Benefits,"Seems to present these AI platforms as both increasing agency and strengthening access to overseas income, as well as decreasing agency and destabilizing the economy. ","The reference to Risk 5.2 (loss of agency as a result of algorithmic boss making non-transparent decisions) could be borderline explanatory or informatory. It doesn't explain why there's a loss of control, but perhaps this is self-explanatory. ","Describes and explains how society as a whole can become less stable when people aren't working in stable jobs. However, this is relating to gig work, which was possible before AI; it isn't referring to loss of jobs or inequality because AI is taking jobs and putting some people out of employment (e.g. the equivalent of self-driving cars reducing the number of people who work as Taxis or Uber drivers). ",Negative,"Describes the increase in recent gig workers in New Zealand, including some who receive work determined by an algorithm. ",Concrete/existing,
2024-08-03 - RNZ - The huge playground of AI musi,Both Risks and Benefits,Suggests AI can produce things you enjoy - a favourite song - so I've noted this as benefit to human wellbeing and enjoyment.,,,Ambivalent,Describes current state of tech for producing music with AI,Concrete/existing,
2024-08-04 - RNZ - AI editorial puts spotlight on,Both Risks and Benefits,,,,Ambivalent,"Describes use of AI in newsrooms and outlets around New Zealand, alongside expert commentary and recent research. ",Concrete/existing,"States that it wasn't used to the desired standard, but ultimately shows some positive uses and some negative uses of AI. "
2024-08-05 - TDN - AI helped write this story abo,Both Risks and Benefits,,Refers to loss of 'heart' and quality if AI is used to complete the task of summarizing an interview and writing an article (Risk 6.3). Also gives an example and draws attention to the incorrect output of Flitter's name (3.1). Also refers to the lack of ability to write a joke (Risk 7.3),,Ambivalent,"Desciribes use of AI in New Zealand businesses, and an interview with the facilitator of an upcoming roadshow on AI. ",Concrete/existing,
2024-08-09 - RNZ - Business to offer AI cameras f,Only Benefits,,,,Positive,A business that uses AI cameras to policy bus lanes and cycle lanes is entering the New Zealand market. ,Concrete/existing,
2024-08-11 - RNZ - The surveilled society- Who is,Both Risks and Benefits,,"This article is clearly tonally raising some risks of surveillance (Risk 4.1), but no specific sentences identify these risks and state that they're at risk of government, police, or bsuiness misuse. Examples include QUOTE [Many of the camera systems could run facial recognition (FR). Sometimes you are just asked to trust the FR function is not switched on.]. I've decided to tag these as a reference to the risk, as the tone of the article (skepticism, suspicion about misuse) is clear. It also doesn't explicitly call out the risk of givernance lagging (Risk 6.5), but it indicates that there are ongoing governance challenges, and that some policies don't provide much protection for consumers or citizens (e.g. just having to trust that FR isn't turned on). ",,Negative,"Describes current surveillance technology in use in New Zealand, alongside three legal challenges",Concrete/existing,
"2024-08-17 - STF - Forget imaginary friends, how",Both Risks and Benefits,,,,Positive,Discusses potential for AI to support students to learn via AI tutor avatars,Hypothetical or predicted,They are discussing research to develop AI avatars; they don't yet exist. 
2024-08-19 - RNZ - AI to deal $570m blow to Austr,Only Risks,,,,Negative,Survey results show musician's current concerns about risks arising from AI music generation. ,Concrete/existing,
2024-08-19 - TST - Caitlyn takes on role of growe,Only Benefits,,,,Positive,Describes a tool for farmers to look up information from research using natural language. ,Concrete/existing,
2024-08-19 - WKT - Funding sought for futuristic,Only Benefits,,,,Positive,A new tool is being developed to identify and zap weeds with a laser. ,Hypothetical or predicted,
2024-08-20 - RNZ - Autonomous mowers in school fi,Both Risks and Benefits,,"There's a mention of built-in safety features but it doesn't describe what these are, so I've coded these as no-domain-specified. ",,Positive,Describes a government tender for automated lawn mowers for use in school grounds.,Both concrete and potential,"The tender describes a hypothetical technology they would want, and there's also information from different mowers that are advertised to schools. "
2024-08-20 - RNZ - NZ Police finally has facial r,Both Risks and Benefits,,,,Negative,Describes NZ's current law around afacial recognition technology in comparison to international use and international law. ,Concrete/existing,"A small number of benefits are mentioned, though a large number of challenges and risks are mentioned. Overall, the tone is that facial recognition tech is risky and must be governed carefully. "
2024-08-21 - RNZ - ACC sees benefits in using AI,Both Risks and Benefits,,,,Ambivalent,"Describes current use of AI at ACC, alongside recent job cuts. ",Concrete/existing,Describes risks and benefits of AI.
2024-08-23 - PST - AI could threaten $572m of NZ,Both Risks and Benefits,,,,Negative,Survey results show musician's current concerns about risks arising from AI music generation. ,Concrete/existing,
2024-08-24 - RNZ - Why internet searches are serv,Both Risks and Benefits,,"Doesn't actually talk about misinformation created inadvertantly; is mostly talking about the effect of AI slop across the internet for fraud purposes, and the resulting lack of consensus of reality. ",,Negative,Describes impacts of modern AI systems (LLMs) on internet content including search results and new scams. ,Concrete/existing,
2024-08-24 - STF - Should firms keep an eye on th,Both Risks and Benefits,,,,Ambivalent,"Describes how businesses are improving productivity with AI, as well as some challenges and recommendations for responsible implementation. ",Concrete/existing,
2024-08-25 - NZH - War of the AI bots,Only Risks,,,,Negative,A recent cybersecurity firm has released a report showing use of AI bots to interact online in polarizing ways. ,Concrete/existing,
2024-08-25 - STF - Jobseeker interviewed by 100 r,Both Risks and Benefits,,"It mentions how time consuming it is for the applicant; while this may reflect disproportionate time spent by applicants vs. employers, it (Risk 6.1, power concentration towards those who develop or deploy AI), it doesn't bring attention to this power imbalance and therefore I am not classing this as a reference to Risk 6.1. Part way down page, Shastry raises concern that the AI bot is not capable at the task that it's intended for QUOTE [Shastru told Stuff he didn't trust the bots.] and that there's a lack of transparency (Risks 7.3 and 7.4 respectively). Throughout the article, references to how impersonal it is (A risk I've called out separately from the MIT domain taxonomy) and additionally, applicants feel a loss of agency in having so many decisions about their lives made by an algorithm (Risk 5.2). THere are references to discrimination that are clearly Risk 1.1 (AI learning incorrect patterns from the data, such as learning that people who don't have an English first name aren't likely to be highly-ranked candidates), as well as references to discrimination that are less clear (thus Domain 1 without a subdomain), such as discrimination based on different words and phrases, or tone, which seems more likely to be Risk 1.3 (unequal performance across groups) but it isn't clear from the information provided. ","There's a reference to ""no facial screning/recognition being used at any point"", which seems to be intented to suggest that there isn't risk of abuse of facial recognition. However, it's unclear exactly which type of risk they're avoiding or mitigating, here. It could be mitigating risk of data being recorded or stolen (Privacy and security risks), of facial recognition being used to envigilate job assessments (possibly biased, RIsk 1.3, or possibly degradation of working conditions Risk 6.2). Therefore, I've coded this as ""Risk negated - not enough information to classify domain).  ",Ambivalent,Jobseekers are increasingly being interviewed by AI tools; experts discuss positives and negatives of using AI tools for recruitment.,Concrete/existing,
2024-08-29 - PST - Scammers are going phishing fo,Both Risks and Benefits,,,,Ambivalent,Scammers are using AI tools to make their scams more believable. ,Concrete/existing,"Talks about scamming using AI tools, and also Netsafe's tool, so I'm considering this presenting ambivalent tone towards AI. "
2024-08-29 - RNZ - How your social media posts ar,Only Risks,,"It talks about your personal data being used to train AI, which includes both a 4.1 risk (surveillance, although not political in nature), and 6.1 (power concentration towards the companies that can collect this data). ",,Negative,Explains a number of ways user data can be used to train AI from social media platforms. ,Concrete/existing,
2024-09-06 - NAD - Te Hiku CEO on top 100 list al,Both Risks and Benefits,,"There's evidence that Risk 6.1 is not a problem, as this article shows that smaller companies can outperform larger companies. However, this feels ambiguous - it doesn't directly mention power concentration or draw attention to this risk, so I think it shouldn't be classed as a reference nor dismissal of Risk 6.1. The relevant quote is: [â€œIn New Zealand, the team at Te Hiku Media built their own automatic speech recognition (ASR) model for the indigenous te reo language, building on 30 yearsâ€™ worth of archival footage and solicited audio clips from community members. Their speech-to-text model now transcribes te reo with 92% accuracy, outperforming similar attempts by major international tech companies.â€]",,Positive,A New Zealand-developed AI tool can reach 92% accuracy for te reo Māori; the CEO has been named in Time Magazine's top 100 list. ,Concrete/existing,
"2024-09-07 - STF - Barbies, pergolas and AI white",Only Benefits,,,,Positive,"New smart home-tech that includes AI includes fridges, ovens, washing machines and TVs. '",Concrete/existing,
2024-09-11 - MWS - Reducing herbicide usage one z,Only Benefits,,,,Positive,A New Zealand innovator is developing a new AI laser than can zap pest species with a laser without requiring herbicides. ,Concrete/existing,"The tool currently works, so I'm calling this a concrete AI example, although the developer notes that it needs to be faster than current to be competitive. "
2024-09-11 - PST - AI project aims to reduce chat,Only Benefits,,,,Positive,"Describes the benefits expected from increased government investment in AI, including the GovGPT app and AI Activator",Hypothetical or predicted,Tools not yet operational
2024-09-11 - RNZ - Defence Force at global summit,Only Risks,,,,Neutral,New Zealand will have one person attending a global summit on responsible AI in the military domain. ,Concrete/existing,"They're referring to the class of technologies of autonomous weapons systems, which do currently exist in some form. "
2024-09-11 - RNZ - Government to launch AI chatbo,Only Benefits,,,,Positive,NZ Government announces a new chatbot to help the public access information from government agencies. ,Hypothetical or predicted,"The tool currently works, so I'm calling this a concrete AI example, although the developer notes that it needs to be faster than current to be competitive. "
2024-09-11 - RNZ - Regulator holds off setting ru,Both Risks and Benefits,,"This article mentions that there won't be regulation or rules set just yet; I have not counted this as a 6.5 risk occuring (as there's no indication in the article that this will lead to harm, and the article doesn't paint this as a risk.) They do, however, negate the risk that governance may lag by suggesting that FMA guidance now could be too hasty. They also mention ""risks"" without defining which risks, so I've coded this as ""risk - no domain""",,Ambivalent,The Financial Markets Authority isn't yet intending to regulate AI,Hypothetical or predicted,Mentions the requirement to understand both risks and benefits.
2024-09-12 - NZH - Harris endorsement comes Swift,Only Risks,,"Risk 4.1 because it's political disinformation, seemingly. ",,Negative,Taylor Swift has endorsed Kamela Harris for the 2024 election to combat AI-generated misinformation falsely suggesting she endorses Donald Trump. ,Concrete/existing,
2024-09-12 - RNZ - Government chatbot ringfenced,Only Benefits,,"Describes a number of ways that they've prevented it from making up misinformation (ring-fencing, providing links). Therefore, is negating Risk 3.1",,Positive,Gov-GPT chatbot will be ringfenced to ensure that it does not make up information when people ask queries about government agencies websites. ,Hypothetical or predicted,
2024-09-13 - RNZ - NZ AI-based management tool to,Only Benefits,,,,Positive,A new tool is being developed to carry out time-tracking for production teams. ,Hypothetical or predicted,Still in development
2024-09-15 - MBE - How artificial intelligence ma,Only Benefits,,,,Positive,Describes an AI academic project that has received further funding to identify birds via Machine Learning,Concrete/existing,
2024-09-18 - GMT - AI turns knowledge base into g,Only Benefits,,"Both the reference to ""privacy and security"" and the reference to AI producing incorrect information are presented as not a problem - the article describes the techniques in place to prevent these risks, without actually referring to the risk itself. I've therefore coded both of these as ""risk negated"" rather than a reference to Risks 2 and 3.1",,Positive,Foundation for Arable Research has introduced a new chaptbot that helps users find information on their website. ,Concrete/existing,
2024-09-18 - RNZ - Te reo Maori needs to go digit,Both Risks and Benefits,,"The reference to privacy doesn't actually refer to privacy risks of AI; these could be conceivably two separate issues that leaders are advocating for. There's a reference to Risk and Safety concerns, though it's unclear what types of risk are being mentioned; this is coded as a ""Risk - domain unspecified""",,Positive,"Summarises the work and experience of Peter Lucas-Jones, who was recently named on the Time Magazine's top 100 inlfuencers of AI. ",Concrete/existing,
2024-09-18 - STF - Peter-Lucas Jones recognised f,Only Benefits,"This article references the benefit of using AI to strengthten te reo Māori, which I've counted as an ""Other Wellbeing"", as well as the ability of their AI tool to support language acquisition. ",,,Positive,"Profiles Peter Lucas-Jones, who was recently named on the Time Magazine's top 100 inlfuencers of AI. ",Concrete/existing,
2024-09-18 - WHC - Laser focus on killing farm we,Only Benefits,,,,Positive,"Proiles the creator of Map and Zap pest eradication software, which can be used to kill weeds without chemical herbicides. ",Concrete/existing,"The prototype exists, even though the designer talks about additional changes they want before they start selling commercially. "
2024-09-20 - SPN - Beware the online menus with A,Both Risks and Benefits,,"The initial statement in the first line is misleading: later in the article, they describe legislation that states customers who feel they were misled by advertising have a number of avenues to complain. Therefore, I've coded this article as ""Risk 6.5 (inadequate governance (Risk negated/dismissed))"" as well as referencing 6.5 itself due to the first sentence. ",,Ambivalent,Some restaurants have been using AI-generated images to advertise their food. This article discusses the legality of doing so. ,Concrete/existing,"Mentions risks of misleading customers, as well as the benefit of operating with fewer staff."
2024-09-21 - RNZ - ACC trial of artificial intell,Both Risks and Benefits,,"It's possible that te reo Māori is not supported because of Risk 1.3 - unequal performance for subgroups arising from training data not containing enough te reo Māori examples. However, this isn't referenced in the article and there may be many other reasons for not supporting a language, so I have not coded this as a reference to Risk 1.3 ",,Positive,ACC has found productivity benefits from a trial of Copilot across their business,Concrete/existing,
2024-09-22 - NSM - Unmanned vessel makes waves wi,Only Benefits,,,,Positive,A new autonomous underwater vehicle has been developed with many applications across sectors. ,Concrete/existing,
2024-09-23 - RNZ - Schools abandon take-home assi,Only Risks,,"The accuracy of AI detectors is a failure of capability (Risk 7.3) and they've specifically described false positives from students with English as a second language, indicating that there may be a risk the tool is less accurate/underperforming for these subgrounps (Risk 1.3). ",,Negative,"Discusses increasing concerns about students cheating with AI, Ministry's removal of certain assessment methods, as well as concerns about tools used to detect cheating being not accurate enough. ",Concrete/existing,"Article talks about harms caused by AI, including moving back to hald-written assessments to prevent cheating. This article does not talk about benefits of AI, and is even critical of over-reliance on AI detectors. "
2024-09-23 - RNZ - Students using artificial inte,Both Risks and Benefits,,,,Ambivalent,"Surveys students and teachers who are dealing with increased use of AI in the classrooms, focusing on the ways students use AI. ",Concrete/existing,
2024-09-24 - RNZ - AI use in NZ schools- I just p,Both Risks and Benefits,"I've counted credentialing as ""benefit - improved institutions"" because it's unclear how they're improving credentialing processes with AI. ","This describes inequality arising from different groups having access to AI, which is a Risk 6.2. ",,Ambivalent,Describes student use and educators uses of AI to improve their work.,Both concrete and potential,
2024-09-24 - RNZ - Government using artificial in,Both Risks and Benefits,,,,Positive,States that the transport ministry has used AI to analyse public submissions on changes to road speed rules. ,Concrete/existing,
"2024-09-26 - SPN - With the deepest respect, Juli",Only Risks,,"This article references the use of Julianne Moore's work (her posts on Facebook) to train Meta's AI (Risk 2.1). This isn't an example of Risk 6.3 because the work is not copyrighted to JM, and therefore not creative or copyright theft. ","While this article describes the ability of companies with power to concentrate that power by using the data on their platforms to develop AI (Risk 6.1), it doesn't draw attention to power concentration as a risk, and therefore I haven't coded this article as a reference to Risk 6.1. ",Negative,"Describes use of content on Meta's platforms to train AI, and the difficulty withdrawing consent for data to be used for this purpose. ",Concrete/existing,
2024-09-27 - NSM - AI community project seeding n,Both Risks and Benefits,"It's unclear what ""more vital"" means, but it seems to be suggesting AI can improve the vibrancy of the community in Nelson Tasman region, so I've coded this as ""other wellbeing.""",,,Positive,Describes initiatives and businesses that have come out of an AI incubator in Nelson Tasman region.,Concrete/existing,
2024-09-29 - BOP - Kiwi start-up Ideally raises $,Only Benefits,,,,Positive,Describes new AI tools being developed by a kiwi start-up. ,Concrete/existing,
2024-09-30 - RNZ - Is New Zealand ready for AI-ge,Both Risks and Benefits,,"It presents the current law and notes places where the law is already adequate to protect consumers, as well as places where the law is not yet adequate to protect people (personality rights) in New Zealand against potential uses of AI. Therefore, I've coded this article as both ""Risk 6.5 - negated/dismissed"" and Risk 6.5 referenced. ",,Ambivalent,"Describes New Zealand's first AI-generated TV advertisement, alongside current legal status of different approaches to use of AI in advertising. ",Concrete/existing,
2024-10-01 - GHT - New AI tech aims to aid in sus,Only Benefits,,,,Positive,Describes a new product that will combine indigenous knowledge with environmental knowledge to support decision-making that aligns with indigenous values. ,Concrete/existing,
2024-10-01 - RNZ - Lone Motutapu Island rat decla,Only Benefits,,,,Positive,A rat has been caught on Motutapu Island with the help of two DOC AI Cams,Concrete/existing,
2024-10-06 - PRS - AI transforming aged care by p,Only Benefits,,The ADHD example is an example of Risk 7.3 - the AI chatbot isn't doing a good job (according to Cowpertwait) at the task it was designed to do. ,,Positive,"An AI programme can now predict injuried, dementia and other health issues for elderly Kiwis",Concrete/existing,
2024-10-07 - RNZ - Psychologist sounds alarm on u,Both Risks and Benefits,,,,Negative,A psychologist is worried that an app designed to support mental health will do more harm than good. ,Concrete/existing,"The overall tone is negative, but there's opportunity for AI to be helpful, so I've counter this as ambiguous towards AI. Even those who see it as a risky technology admit there could be some positives if implemented well. "
2024-10-07 - RNZ - The robots already working in,Both Risks and Benefits,,"Emphasizes how AI won't replace human staff - therefore dismissing or negating Risk 6.2. Also mentions that some staff are still worried, and the reduced need for temporary staff, so this does refer to Risk 6.2 as a risk, too. This refers to the devaluation of the human touch in hospitality, but it doesn't refer to creative experiences becoming lower quality (6.3), so I've classed this as risk of dehumanization. Notes a number of ways the robots aren't performing up to standard (Risk 7.3, lack of capability). ",,Ambivalent,Robots used in hospitality can be useful in business but are not leading to job losses,Concrete/existing,"References a number of risks and benefits of the bots, overall strikes an ambivalent tone. "
2024-10-07 - STF - Nobel Prize in physics awarded,Both Risks and Benefits,,"Reference to risk that's ambiguous (using this new technology in a safe and ethical way for the greatest benefit…), but later followed up with ""We have to worry about a number of possible bad consequences, particularly th threat of these things getting out on control."" This is referring to the risk of misaligned AI (that cannot be controlled by the designer or user); Risk 7.1. ",,Ambivalent,Profile of the Nobel prize winners and their thoughts on the future of AI. ,Hypothetical or predicted,
2024-10-08 - PRS - Godfather of AI wins Nobel Pri,Only Risks,,"""existential risk"" posed to humanity is unclear, so I've marked it would a domain. It's followed up with loss of control, which is a reference to Risk 7.1 (a misaligned/superintelligent AI taking being unable to be controlled by designer or developer). ",,Negative,Profile of the Nobel prize winners and their thoughts on the future of AI. ,Hypothetical or predicted,
2024-10-08 - STF - Nobel Prize in chemistry award,Only Benefits,,,,Positive,Summarizes the Nobel Prizes in Chemsitry,Concrete/existing,
2024-10-11 - RNZ - How artificial intelligence co,Both Risks and Benefits,,"This article makes many references to the importance of AI being seen as a decision-support rather than a decision-maker.  In this way, they seem to be referencing Risk 5 (humans over-relying, or using AI unsafely, or decisions being outsourced to machines in a way that erodes human expertise). They aren't dismissing the risk, they're affirming that it is a risk that should be mitigated through making sure nurses and doctors make the final decisions. They also emphasize that this technology shouldn't result in humans losing jobs, so I've coded this as ""Risk 6.2 negated.""",,Ambivalent,Describes a new AI tool in development that can help to diagnose brain disease,Hypothetical or predicted,
2024-10-13 - RNZ - Governments Identity Check fac,Both Risks and Benefits,"There is a reference to AI unlocking multi-billions of dollars of economic growth through the streamlined access to public/private services. I've coded this as ""improved orgnaizations"" as use of biometric ID confirmation could make these businesses function faster. It's debatable as to whether AI is bringing the increased economic growth, as this isn't directly a result of the AI. ","It's clear from the content in this article that it's discussing bias of underperforming for specific subgroups (Risk 1.3). There's a reference to people using fake photos, and the resulting need for Liveness tech, but it's unclear if people are using AI to generate fake photos; therefore, I haven't coded this as a reference to Risk 4.3. ",,Ambivalent,Bias testing has shown that the government's new biometric ID verification technology does not display bias. ,Concrete/existing,Presents benefits of the system but also notes a number of mitigations required to ensure these benefits outweigh the risks. 
2024-10-14 - KPN - College takes on future-focuse,Only Benefits,"I'm coding the teacher's excitement at the possibilities as a benefit of new technologies, as he's excited about the new possibilities that are unlocked by this new technology. ",,,Positive,Otaki college principal is excited about the possibilities of personalised learning and saving teacher time via AI. ,Both concrete and potential,"Talks about current technology, but also their hopes for future possibilities as AI continues to develop. "
2024-10-14 - NAD - DoC nabs elusive pest with hel,Only Benefits,,,,Positive,A DOC AI cam has helped to locate and remove a rat,Concrete/existing,
2024-10-14 - NSM - Schools and AI - how one teach,Both Risks and Benefits,,,,Ambivalent,"Describes a Nelson teacher's approach to teaching students, now that AI is becoming more skilled. ",Concrete/existing,"Mentions some risks and benefits, ultimately striking a positive tone but referencing the ability for misuse of skill atrophy. "
2024-10-15 - BOP - Homegrown AI tool can help del,Both Risks and Benefits,,Describes that some companies might lock you into a service and platform (Risk 6.1) ,,Ambivalent,"Describes a new tool that can support businesses to automate tasks using AI, and how the tool navigates a number of risks. ",Concrete/existing,"Mentions both risks and benefits of using AI, usually referring to risks by describing how they have been mitigated. While the overall tone is positive towards AI, there's enough attention to the risks that this paints the picture of tech with risks and benefits, rather than unambiguously beneficial technology. "
2024-10-17 - PRS - Will there really be a $10b AI,Both Risks and Benefits,,"There's an example of a race dymanic but the article does not draw attention to this as a race dynamic, therefore I am not counting this as a reference to Risk 6.4. QUOTE: [â€œIn my opinion, building a digital economy urgently is far more important than these traditional housing and roading projects,â€ he told The Press. â€œWe will miss the once in life opportunity to fill up the demand for data centres at the moment if we do not act quickly.â€]",,Ambivalent,Investigates the claim that there will be a $10b data centre built in Rakaia. ,Hypothetical or predicted,"Difficult to pick tone: the article is clearly skeptical that the technology described will exist, but they descibe a number of benefits if it does exist. I'm coding this as ""ambivalent."""
2024-10-17 - SCP - NZQA To Trial Computer-marking,Both Risks and Benefits,,,,Positive,Describes NZQA's pilot study and upcoming study for using Machine Learning to mark students' written exams. ,Concrete/existing,
2024-10-18 - NZH - PMs name used in crypto con,Only Risks,,,,Negative,Describes a victim of a cryptocurrency scam that used deepfakes of famous New Zealanders to convince victims of the scam's legitimacy. ,Concrete/existing,
2024-10-19 - RNZ - Scam Facebook ads targeting me,Both Risks and Benefits,,"Later in the article, the false advertisements are defined as scams because they're harvesting data; I've coded this as Risk 4.3 (Misuse/fraud) instead of Risk 3.1 (misinformation that is created without malicious intent). This article also describes the lack of ability to govern the technology, including to remove fake AI-generated advertisements (Risk 6.5). ",,Neutral,"Describes the large number of AI-generated deepfakes and scams that have recently appeared on Facebook, including where they may be coming from and why Facebook is ineffective at removing flagged content. ",Concrete/existing,
2024-10-19 - RNZ - Why Google Maps cant pronounce,Both Risks and Benefits,,"Article describes lower performance in te reo Māori compared to other languages, indicating a lack of capability in a particular subgroup (as it is trained on some Māori data, but likely not as much as other langauges). This is Risk 1.3 (unequal perfomance among subgroups). This also refers to Risk 6.1 (power concentration, and reinforcement of cultural norms that reinforce those who have AI-based power), as the article states that the benchmark is lower for te reo Māori, and the statement that no Māori-langauge speakers were involved in the creation of tools like OpenAI and Google's AI voice models. ",,Ambivalent,"International AI voice tools, like OpenAI and Google's tools, are not as accurate as Te Hiku Media's te reo Māori pronounciation AI tool. ",Concrete/existing,"Broadly positive about the opportunity of a good tool, but does state the concern that a poor job may be worse than doing nothing. Therefore, seems to show an ambivalent view of the potential of AI. "
2024-10-20 - WHC - AI models can forecast flu num,Both Risks and Benefits,,,,Positive,Two new machine learning models have been used to predict hospital admission rates throughout flu season. ,Concrete/existing,
2024-10-23 - TDN - Kiwi AI business making waves,Only Benefits,,,,Positive,"A new program, ListAssist, uses AI for a range of natural-language features including natural-language search, SEO-optimization and generating additional data about user requests. ",Concrete/existing,
2024-10-30 - RNZ - NIWA turning to AI to forecast,Both Risks and Benefits,,"This article indicates that the model is highly capable within distribution (high inundation forecast accuracy), but that it isn't very accurate out of distribution (e.g. areas out of Westport). Therefore, I've marked it both as a reference to Risk 7.3, as well as a reference that negates Risk 7.3",,Positive,A new AI model has been trained to predict inundation in Westport. ,Concrete/existing,
2024-10-30 - STF - Embracing AI can be scary but,Both Risks and Benefits,,"This article mentions the expectation that every industry will be impacted by AI; this is referencing the risk that jobs and businesses will be impacted by AI and (in context) they recommend that marketers should learn how to use AI rather than 'bury their heads in the sand'; I coded this as Risk 6.2 (inequality arising from some people using AI in businesses, and others not). ",,Positive,"Describes two founders and their advice for making the most of opportunities unlocked by AI, and describing their journeys to create a digital marketing business and a photography business. ",Concrete/existing,
2024-10-31 - STF - An avatar-crafting start-up wi,Only Benefits,"This article describes a chatbot working with a visual avatar; the benefit of AI is that it can understand and interface in natural language, and this improves the quality of their product (over, say, a textbook). They also describe the use of avatars to motivate kids (making tasks easier). ",,,Positive,Describes two technologies using Avatars and AI to provide interactive experiences. ,Concrete/existing,
2024-11-03 - WHC - The hidden risks of coastal fl,Only Benefits,,,,Positive,New AI-based modeling of inundation can predict the areas which will be cut off from important services in a flooding event. ,Concrete/existing,
2024-11-05 - RNZ - Why AI wont ruin childrens edu,Both Risks and Benefits,"Describes ChatGPT as a search engine with summarization, thereby making knowledge more available to a user. Student is using ChatGPT as a tutor (therefore supporting him to expand his capabilities). ","Describes that universities have a range of responses to cheating using ChatGPT, and that their policies aren't adequate to prevent cheating (Risk 6.5). ",,Negative,Describes responses from educational institutions to use of ChatGPT for cheating; expert concerns about impact of this on learning; and how some students are using ChatGPT to enhance their learning. ,Concrete/existing,
2024-11-06 - NAD - Diabetes ad scam alarms uni ex,Only Risks,,,,Negative,Describes the use of AI to generate scam advertisements.,Concrete/existing,
2024-11-06 - PST - Company behind chatbot sees st,Both Risks and Benefits,,"Prompt injections are generally considered failures of robustness/capability (Risk 7.3). This is despite the attack being intentional misuse (for example, it could easily be misclassified as risk 2.1 because the AI system is vulnerable to attack, or Risk 4,3 because the user is intentionally misuing.). I'm coding it as Risk 7.3 becuase this event is focusing on the AI's failure to behave as expected, rather than focusing on the particular information that is leaked (2.1), the corruption of a wider system (2.2), or the misuse of the system for nefarious purposes (4.3). The ability of the AI to produce inappropriate content is also a demonstration of Risk 1.2 (Toxic content). ",,Ambivalent,"Describes the current use and issues with a mental health AI chatbot provided by an EAP company, Clearhead. ",Concrete/existing,
