Article,Risk Domain,Subdomain,Risk depth,Comment on depth of risk
2024-08-24 - STF - Should firms keep an eye on th,3,3.1,Elucidating,
2024-08-24 - STF - Should firms keep an eye on th,6,6.5,Elucidating,
2024-08-24 - STF - Should firms keep an eye on th,7,7.3,Elucidating,
2024-08-24 - STF - Should firms keep an eye on th,5,5.2,Informatory,"Doesn't actually define the risk of giving too much power to AI, though it does treat this as a negative through the emphasis on a human-enabled future. "
2024-08-25 - NZH - War of the AI bots,3,3.2,Quasi-scientific,
2024-08-25 - NZH - War of the AI bots,4,4.1,Quasi-scientific,
2024-08-25 - NZH - War of the AI bots,6,6.5,Quasi-scientific,
2024-08-25 - NZH - War of the AI bots,7,7.3,Informatory,
2024-08-25 - STF - Jobseeker interviewed by 100 r,1,1,Elucidating,"""Concerned that they chat bots are rejecting them unfairly"" isn't clear exactly what kind of unfair rejection is occurring. "
2024-08-25 - STF - Jobseeker interviewed by 100 r,6,6.5,Elucidating,"Doesn't explain why AI is difficult to regulate, but does give examples of other laws. Merely states the problem. "
2024-08-25 - STF - Jobseeker interviewed by 100 r,7,7.3,Elucidating,"Explains how AI can over-index on specific features (qualifications on experience) and not consider other skills. Doesn't link this to the data that it was trained on, so only a definition of the risk/harm. "
2024-08-25 - STF - Jobseeker interviewed by 100 r,1,1.1,Quasi-scientific,"Assumes the audience already knows that an English first name will be privileged by the dataset. However, gives an explanation lower down that Schellmann is concerned about false assumptions built into the tools. "
2024-08-25 - STF - Jobseeker interviewed by 100 r,5,5.1,Quasi-scientific,
2024-08-25 - STF - Jobseeker interviewed by 100 r,5,5.2,Quasi-scientific,"Through the examples provided about Shastry's experience, I think this is explanatory: The candidate experience can be poor, and it's very difficult to make your way through the maze of interviews to met a human, and it's very impresonal and difficult to challenge decisions. "
2024-08-25 - STF - Jobseeker interviewed by 100 r,8,8.4,Quasi-scientific,
2024-08-25 - STF - Jobseeker interviewed by 100 r,2,2.2,Informatory,
2024-08-25 - STF - Jobseeker interviewed by 100 r,6,6.2,Informatory,"Shows an example of the relationship between employer and employee becoming more explitative, but doesn't actually define this as such. "
2024-08-25 - STF - Jobseeker interviewed by 100 r,7,7.4,Informatory,
2024-08-29 - PST - Scammers are going phishing fo,4,4.3,Quasi-scientific,"This article gives examples of how deepfakes were used to create a fake profile of the person, and that was used to scam people. Clearly explanatory. "
2024-08-29 - RNZ - How your social media posts ar,6,6.1,Elucidating,
2024-08-29 - RNZ - How your social media posts ar,2,2.1,Quasi-scientific,Clear explanation of how AI tools can leak people's information if it appears in their training data. 
2024-08-29 - RNZ - How your social media posts ar,4,4.1,Quasi-scientific,
2024-08-29 - RNZ - How your social media posts ar,6,6.5,Quasi-scientific,
2024-08-29 - RNZ - How your social media posts ar,8,8.3,Quasi-scientific,
2024-08-29 - RNZ - How your social media posts ar,6,6.4,Quasi-scientific,
2024-08-29 - RNZ - How your social media posts ar,4,4.3,Informatory,
2024-08-29 - RNZ - How your social media posts ar,6,6.3,Informatory,
2024-09-05 - TAM - Peter Lucas Jones joins Zuc,8,8.2,Quasi-scientific,
2024-09-06 - NAD - Te Hiku CEO on top 100 list al,8,8.2,Quasi-scientific,
2024-09-09 - WAA - Peter Lucas Jones ranked wi,8,8.2,Quasi-scientific,
2024-09-11 - RNZ - Defence Force at global summit,6,6.5,Informatory,
2024-09-11 - RNZ - Regulator holds off setting ru,0,0,Informatory,
2024-09-12 - NZH - Harris endorsement comes Swift,4,4.1,Quasi-scientific,
2024-09-18 - RNZ - Te reo Maori needs to go digit,0,0,Informatory,
2024-09-20 - SPN - Beware the online menus with A,6,6.5,Elucidating,
2024-09-21 - RNZ - ACC trial of artificial intell,2,2.2,Elucidating,"""Whether by hacking"" is the reference here - doesn't explain how an AI tool could be hacked. "
2024-09-21 - RNZ - ACC trial of artificial intell,7,7.3,Elucidating,
2024-09-21 - RNZ - ACC trial of artificial intell,1,1,Informatory,
2024-09-21 - RNZ - ACC trial of artificial intell,4,4,Informatory,
2024-09-21 - RNZ - ACC trial of artificial intell,2,2.1,Informatory,"Suggests making sure that personal information is not entered directly in the AI tool, but doesn't explain why. Also mentions that privacy breaches of personal information may occur, but doesn't mention that an AI tool may learn from information the developer collected via users. "
2024-09-23 - RNZ - Schools abandon take-home assi,1,1,Elucidating,"This sentence is describing clear bias where the tool performs less accurately (""false positives through AI detectors"") for second-language students. It's unclear why - whether it was due to biases in the training data, or lack of sufficient examples in the training data that led to this result. "
2024-09-23 - RNZ - Schools abandon take-home assi,4,4.3,Elucidating,"Doesn't explicity say how AI is being used to cheat, although it may be borderline explanatory. However, I've chosen to treat this as a definition because it's not as explicit as the discussion in the ""student using artificial intelligence…"" article on the same day; this present article doesn't explicitly say that students are using AI to produce high quality work without the learning. "
2024-09-23 - RNZ - Schools abandon take-home assi,7,7.3,Elucidating,
2024-09-23 - RNZ - Schools abandon take-home assi,6,6.5,Quasi-scientific,"States that's it's difficult because AI is advancing fast and also that current tools to detect cheating can't keep up, so it's very difficult to draft clear policy that polices the behaviour they are attempting to police. "
2024-09-23 - RNZ - Students using artificial inte,6,6.5,Elucidating,
2024-09-23 - RNZ - Students using artificial inte,7,7.3,Elucidating,
2024-09-23 - RNZ - Students using artificial inte,5,5.2,Quasi-scientific,
2024-09-23 - RNZ - Students using artificial inte,4,4.3,Quasi-scientific,
2024-09-24 - RNZ - AI use in NZ schools- I just p,6,6.2,Elucidating,
2024-09-24 - RNZ - AI use in NZ schools- I just p,6,6.5,Quasi-scientific,"States that it's difficult because of rapid development, and has some explanation that it's difficult to govern effectively because teachers don't understand how it can be used. Borderline explanatory/definition-only. "
2024-09-24 - RNZ - Government using artificial in,2,2.1,Informatory,
"2024-09-25 - WAA - Teach AI ethics, enhance ed",4,4.3,Elucidating,
"2024-09-26 - SPN - With the deepest respect, Juli",2,2.1,Elucidating,"This article is referencing the use of personal data (albeit publicly available personal data) to train AI systems (Risk 2.1). It doesn't actually explain the risk that personal information could be shared byt eh AI system, just that it was used to train it. Therefore, I'm classing this as an informatory reference (it's bad that your personal data can be used to train the system, but it doesn't explain why because it already assumes the reader understands consequences of this). "
"2024-09-26 - SPN - With the deepest respect, Juli",6,6.4,Elucidating,"Someone who didn't know anything about AI arms races would now understand that companies are racing and therefore scooping up data. However, this doesn't explain the reasons why companies are racing, nor a detailed understanding of how race dynamics impacts users rights (this sentence is quite short). "
"2024-09-26 - SPN - With the deepest respect, Juli",8,8.3,Quasi-scientific,Poses the idea that Meta is collecting all of the data in order to train it's AI. Another section of the article exaplains that there's an incentive for increased data collection due to the AI Arms race
"2024-09-26 - SPN - With the deepest respect, Juli",6,6.5,Informatory,
2024-09-27 - NSM - AI community project seeding n,6,6.3,Elucidating,
2024-09-27 - NSM - AI community project seeding n,8,8.2,Informatory,
2024-09-30 - RNZ - Is New Zealand ready for AI-ge,6,6.3,Elucidating,Doesn't explain the consequences on quality of creative works. 
2024-09-30 - RNZ - Is New Zealand ready for AI-ge,3,3.2,Informatory,"In context, this suggests that New Zealanders may be unable to tell whether content is AI generated. "
2024-09-30 - RNZ - Is New Zealand ready for AI-ge,6,6.5,Informatory,
2024-10-07 - RNZ - Psychologist sounds alarm on u,5,5.1,Elucidating,"Doesn't explain why these will be unsafe, or what kind of advice might be a bad fit and why AI creates the risk here. "
2024-10-07 - RNZ - Psychologist sounds alarm on u,7,7.3,Elucidating,Doesn't really explain why the AI is not competent at the task
2024-10-07 - RNZ - The robots already working in,7,7.3,Elucidating,
2024-10-07 - RNZ - The robots already working in,6,6.2,Quasi-scientific,
2024-10-07 - RNZ - The robots already working in,8,8.4,Quasi-scientific,
2024-10-07 - STF - Nobel Prize in physics awarded,5,5.2,Elucidating,
2024-10-07 - STF - Nobel Prize in physics awarded,0,0,Informatory,
2024-10-08 - PRS - Godfather of AI wins Nobel Pri,0,0,Informatory,
2024-10-08 - PRS - Godfather of AI wins Nobel Pri,7,7.1,Informatory,
2024-10-11 - RNZ - How artificial intelligence co,5,5.1,Elucidating,"Doesn't actually say that AI can be prone to failure and provide inaccurate advice, therefore overreliance can cause harm. Focuses instead of the need for humans to remain accountable and in control, rather than relying solely on AI. "
2024-10-11 - RNZ - How artificial intelligence co,0,0,Informatory,
2024-10-13 - RNZ - Governments Identity Check fac,1,1.3,Elucidating,"References that AI has historically been less accurate, but doesn't explain why this might be the case, so is only informatory reference. "
2024-10-13 - RNZ - Governments Identity Check fac,2,2.2,Elucidating,"Borderline. Doesn't explain how AI might be hacked, nor how connection to other insecure systems could lead to it being vulnerable to hacking, so this is an informatory reference. "
2024-10-14 - NSM - Schools and AI - how one teach,5,5.2,Elucidating,
2024-10-14 - NSM - Schools and AI - how one teach,4,4.3,Elucidating,Defines the issue through the negative: Students must learn that they can't use AI to replace their own learning. 
2024-10-14 - NSM - Schools and AI - how one teach,4,4,Informatory,
2024-10-14 - NSM - Schools and AI - how one teach,3,3.1,Informatory,"Doesn't actually define or explain what a hallucination is, but this might be easy to impl from context. "
2024-10-15 - BOP - Homegrown AI tool can help del,2,2.1,Elucidating,
2024-10-15 - BOP - Homegrown AI tool can help del,3,3.1,Elucidating,"Does explain that it won't be correct the whole time, but doesn't explain why or how this inaccurate information arises, and therefore Informatory rather than Explanatory. "
2024-10-15 - BOP - Homegrown AI tool can help del,8,8.1,Elucidating,"Doesn't explain why this is important, but does state that it's importyant to ensure things remain inside NZ legislative oversight. "
2024-10-15 - BOP - Homegrown AI tool can help del,2,2,Informatory,
2024-10-15 - BOP - Homegrown AI tool can help del,6,6.1,Informatory,States that AI platforms are fixed without linking this to a power concentration. But does draw attention to the ability of AI companies to control how their AI tools are used. 
2024-10-17 - PRS - Will there really be a $10b AI,8,8,Quasi-scientific,"Explaining the risk of increased AI snake-oil products or investnments, by explaining the validity of this person's claims and background for the task. "
2024-10-17 - SCP - NZQA To Trial Computer-marking,7,7.3,Elucidating,Defines the issue - that it may not be as accurate as human markers - but doesn't explain why there may be a limitation or ceiling on it's accuracy. 
2024-10-18 - NZH - PMs name used in crypto con,4,4.3,Quasi-scientific,
2024-10-18 - NZH - PMs name used in crypto con,6,6.5,Informatory,References that the current policy isn't good enough to prevent harm. 
2024-10-19 - RNZ - Scam Facebook ads targeting me,8,8,Elucidating,Loss of reputation of a media company
2024-10-19 - RNZ - Scam Facebook ads targeting me,8,8.3,Elucidating,
2024-10-19 - RNZ - Scam Facebook ads targeting me,4,4.3,Quasi-scientific,
2024-10-19 - RNZ - Scam Facebook ads targeting me,6,6.5,Quasi-scientific,
2024-10-19 - RNZ - Why Google Maps cant pronounce,1,1.3,Quasi-scientific,"Explains that the benchmark is lower for global tech companies' accuracy at te reo, therefore allowing the reader to build an understanding of why it lags behind in pronunciation. "
2024-10-19 - RNZ - Why Google Maps cant pronounce,6,6.1,Quasi-scientific,
2024-10-20 - WHC - AI models can forecast flu num,0,0,Informatory,
2024-10-30 - RNZ - NIWA turning to AI to forecast,7,7.3,Quasi-scientific,"Identifies that it may not be accurate because it learned patterns relating to Westport, but they're insure if it will be accurate for other areas. "
2024-10-30 - STF - Embracing AI can be scary but,8,8,Elucidating,
2024-10-30 - STF - Embracing AI can be scary but,0,0,Informatory,"Unclear what ""safe use of the technology"" is referring to. "
2024-10-30 - STF - Embracing AI can be scary but,2,2.1,Informatory,
2024-10-30 - STF - Embracing AI can be scary but,6,6.2,Informatory,"Mentions that AI will impact industries, and that there's a choice of adopting or burying heads in the sand. This doesn't give any further information to draw attention to the potential consequences of this; it assumes that the reader already knows consequences of whichever option is chosen. "
2024-10-30 - STF - Embracing AI can be scary but,6,6.3,Informatory,
2024-11-05 - RNZ - Why AI wont ruin childrens edu,6,6.5,Elucidating,
2024-11-05 - RNZ - Why AI wont ruin childrens edu,5,5.2,Quasi-scientific,
2024-11-05 - RNZ - Why AI wont ruin childrens edu,4,4.3,Quasi-scientific,"Gives some explicit examples of how AI can be used to aid cheating, incluing humanization of writing. "
2024-11-06 - NAD - Diabetes ad scam alarms uni ex,4,4.3,Quasi-scientific,
2024-11-06 - PST - Company behind chatbot sees st,6,6.5,Elucidating,
2024-11-06 - PST - Company behind chatbot sees st,7,7.3,Quasi-scientific,"Explains that there's a failure of producing text that it shouldn't, but also that the failure is due to the user spending hours with the tool and learning how to make it do this via prompt injection; explains that the normal user would only use it for a few minutes. Together, this gives the reader enough understanding to see that AI deployed in some contexts can behave differently to the intended behaviour. "
2024-11-06 - PST - Company behind chatbot sees st,1,1.2,Informatory,"Gives examples, but doesn't explain why an AI tool may be able to produce toxic content like this. "
2024-11-06 - TST - Deepfake of academic used to h,4,4.3,Elucidating,
2024-11-08 - SCP - AI Expert Concerned No Maori W,1,1.3,Elucidating,"Borderline informatory/explanatory. This article draws explicit attention towards the low sample size, meaning that it's clearly identifying Risk 1.3. It mentions that it may have higher error rates for Māori and Pasifika, and relates this to the machine's potential inability to deal with shadows, blur, lighting, or potentially Tā moko. This gives a reasonable amount of explanation such that a reader could understand the AI system may not be able to discern between faces that it hasn't had sufficient training on. "
2024-11-08 - WAA - Education experts urge care,0,0,Informatory,
2024-11-08 - WAA - Education experts urge care,5,5.2,Informatory,
2024-11-11 - RNZ - Deep fake porn showing up in N,1,1.2,Elucidating,"Doesn't explain that AI can produce toxic content in relation to the data it was trained on, so doesn't build an understanding of how AI generates toxic content other than ""a tool exists that can do this."""
2024-11-11 - RNZ - Deep fake porn showing up in N,6,6.5,Elucidating,
2024-11-11 - RNZ - Deep fake porn showing up in N,4,4.3,Quasi-scientific,
2024-11-18 - RNZ - AI tutors show promise but sho,6,6.2,Elucidating,
2024-11-18 - RNZ - AI tutors show promise but sho,5,5.2,Quasi-scientific,
2024-11-18 - RNZ - AI tutors show promise but sho,8,8.4,Quasi-scientific,Gives a justification for why the replacement of teachers would be a loss - that there wouldn't be the relational human aspect that inspires and motivates students. 
2024-11-21 - TAM - Experts explore using AI in,6,6.1,Elucidating,
2024-11-21 - TAM - Experts explore using AI in,1,1.3,Quasi-scientific,
2024-11-21 - TAM - Experts explore using AI in,4,4.3,Informatory,
2024-11-21 - TAM - Experts explore using AI in,8,8.2,Informatory,
2024-11-22 - WAA - Symposium prepares lecturer,6,6.2,Elucidating,
2024-11-29 - STF - Asleep at the wheel Self-driv,5,5.1,Elucidating,"Gives an example of overreliance and draws attention to the inability to safely navigate a situation because of that overreliance.However, falls short of explaining the overreliance on AI caused the issue (as a nature of the court case being an undecided verdict, and an alternative defense being laid). "
2024-11-29 - STF - Asleep at the wheel Self-driv,6,6.5,Quasi-scientific,
2024-11-29 - STF - Asleep at the wheel Self-driv,7,7.3,Informatory,Assumes the audience already understands autopilot malfunctions. 
2024-12-03 - RNZ - Adopting a single AI app for g,2,2.2,Elucidating,"Defines the risk: that a single tool can create a single target for hacking, and a single point or risk and failure with respect to that. Doesn't explain how AI might be hacked, nor how connection to other insecure systems could lead to it being vulnerable to hacking, so this is an informatory reference. "
2024-12-03 - RNZ - Adopting a single AI app for g,1,1.3,Informatory,
2024-12-04 - NZH - The rapid rise and rise of,3,3.1,Elucidating,
2024-12-04 - NZH - The rapid rise and rise of,6,6.3,Quasi-scientific,
2024-12-06 - STF - Next-gen AI is on its way  for,4,4.3,Quasi-scientific,
2024-12-06 - STF - Next-gen AI is on its way  for,6,6.2,Quasi-scientific,
2024-12-06 - STF - Next-gen AI is on its way  for,2,2,Informatory,
2024-12-06 - STF - Next-gen AI is on its way  for,6,6,Informatory,
2024-12-06 - STF - Next-gen AI is on its way  for,3,3.1,Informatory,
2024-12-06 - STF - Next-gen AI is on its way  for,1,1.2,Informatory,
2024-12-06 - STF - Next-gen AI is on its way  for,6,6.1,Informatory,
2024-12-06 - STF - Next-gen AI is on its way  for,6,6.5,Informatory,"References the need for strong policy around the use of AI, and in which parts of the business (procurement, development and deployment), but doesn't explain why it's necessary or difficult. "
2024-12-06 - STF - Next-gen AI is on its way  for,8,8.4,Informatory,"References the idea that humans are valuable, and removing them would be remocing value - but doesn’t explain this in detail. "
2024-12-12 - RNZ - Data centres ride AI boom in w,6,6.6,Quasi-scientific,
2024-12-15 - RNZ - AI influencing Christmas gift,8,8,Elucidating,"There's something here around the risk of spaces becoming commercialised, but it isn't quite clear what this risk is (so definition rather than explanation). "
2024-12-15 - RNZ - AI influencing Christmas gift,8,8.4,Quasi-scientific,Explains how the use of AI may shortcut the part of gift-giving that people find meaningful
2024-12-19 - NSM - Taking art from Artificial Int,5,5.2,Elucidating,
2024-12-19 - NSM - Taking art from Artificial Int,0,0,Informatory,"""Dystopia"" is unclear about what kinds of harm are caused by AI. "
2024-12-19 - NSM - Taking art from Artificial Int,6,6,Informatory,
2024-12-19 - NSM - Taking art from Artificial Int,6,6.3,Informatory,
2024-12-19 - NSM - Taking art from Artificial Int,6,6.6,Informatory,
2025-01-05 - RNZ - Diabetes doctor caught in up d,4,4.3,Quasi-scientific,
2025-01-09 - SCP - Trailblazer On Upskilling Kiwi,0,0,Informatory,
2025-01-09 - SCP - Trailblazer On Upskilling Kiwi,2,2,Informatory,
2025-01-14 - NZH - Woman loses $1.5m in Pitt scam,4,4.3,Elucidating,Presents enough information for someone who didn't undertand AI deepfake scame to understand what the risk is. 
2025-01-15 - NZH - From 3G shutdown to AI slop- T,3,3.1,Elucidating,Doesn't explain how or why the AI gives correct answers
2025-01-15 - NZH - From 3G shutdown to AI slop- T,4,4.3,Elucidating,"Doesn't explain how this is a scam, other than misrepresenting the authenticity of the fake users. Also doesn't actually explain how AI would help with this, other than ""AI was used to generate fake profiles."" "
2025-01-15 - NZH - From 3G shutdown to AI slop- T,3,3.2,Quasi-scientific,"This article contains enough information to constitute an explanatory reference, as it says ""making it impossible to know what LA firefighting or newgadget stills or video in your social feeds are real or fake"" and ""There's been speculation by pundits that Meta could use AI-generated users to push products as fake â€œinfluencersâ€ or to just make make its users feel better by padding their likes, comments and follower counts with artificial profiles and AI-generated content."" Together, the reader can build a new understanding that this type of use of AI may make it difficult to know whether content they see online is reflective of reality. "
2025-01-15 - NZH - From 3G shutdown to AI slop- T,1,1.2,Informatory,
2025-01-15 - NZH - From 3G shutdown to AI slop- T,6,6.3,Informatory,
2025-01-25 - NZH - AI child sex images sound alar,1,1.2,Elucidating,"Doesn't explain that AI can produce toxic content in relation to the data it was trained on, so doesn't build an understanding of how AI generates toxic content other than ""a tool exists that can do this."""
2025-01-25 - NZH - AI child sex images sound alar,8,8,Quasi-scientific,Explains why the flood of AI-generated imagery can cause harm in the real world. 
2025-01-25 - NZH - AI child sex images sound alar,4,4.3,Quasi-scientific,
2025-01-25 - NZH - AI child sex images sound alar,6,6.5,Quasi-scientific,
2025-01-28 - RNZ - AI integration in education mu,8,8,Elucidating,
2025-01-28 - RNZ - AI integration in education mu,4,4.3,Elucidating,
2025-01-28 - RNZ - AI integration in education mu,6,6.2,Elucidating,
2025-01-28 - RNZ - AI integration in education mu,6,6.1,Elucidating,
2025-01-28 - RNZ - AI integration in education mu,6,6.3,Elucidating,
2025-01-28 - RNZ - AI integration in education mu,5,5.2,Quasi-scientific,
2025-01-28 - RNZ - Government releases artificial,2,2,Informatory,"Doesn't actually define a risk here - ""there are privacy, security and ethical risks here… we recommend not using it for classified data, or entering peronal data into GenAI tools."""
2025-01-28 - RNZ - Government releases artificial,4,4,Informatory,
2025-01-28 - RNZ - Government releases artificial,3,3.1,Informatory,
2025-01-30 - PRS - Warning on China spy risk from,2,2.1,Quasi-scientific,Clear example of how the AI tool could be used to collect personal information from prompts. 
2025-01-30 - PRS - Warning on China spy risk from,8,8.1,Quasi-scientific,
2025-01-30 - PRS - Warning on China spy risk from,4,4.1,Quasi-scientific,
2025-01-30 - PRS - Warning on China spy risk from,8,8.3,Quasi-scientific,
2025-01-30 - RNZ - NZ innovators using artificial,7,7.3,Quasi-scientific,Explains the necessity of good data to help distinguish between similar animals in the traps
2025-02-02 - RNZ - New guidelines released for pu,3,3.1,Elucidating,"Does define misinformation, but doesn't explain the mechanism through which AI gives misinformation"
2025-02-02 - RNZ - New guidelines released for pu,1,1,Informatory,
2025-02-03 - NSM - AI system to help prevent drow,5,5.1,Elucidating,
2025-02-03 - NSM - AI system to help prevent drow,6,6.2,Elucidating,
2025-02-04 - RNZ - New Zealand public services re,6,6.5,Elucidating,"The academic is talking about the challenge of policing government use of AI when there's no transparecy about what systems are used; this led to their justification for having a charter (""""It means there's a degree of transparency and scrutiny about the extent of these systems, and it does mean they can potentially be asked to demonstrate they meet standards that we would regard as reasonable.""). This is an example of one governance challenge - the lack of transparency to companies' use of AI systems, by those who may want to police that use. Therefore, this *is* a reference to Risk 6.5. I'll call it a definition, as it seems clear fromt he final sentence (quoted above) that they're referring to challenges in holding AI deployers to ethical standards of use when there's no transparency of systems. "
2025-02-04 - RNZ - New Zealand public services re,7,7.3,Quasi-scientific,
2025-02-04 - RNZ - New Zealand public services re,1,1,Informatory,
2025-02-04 - RNZ - New Zealand public services re,5,5.2,Informatory,
2025-02-07 - NZH - Woman loses $375k in Martin He,4,4.3,Quasi-scientific,
2025-02-12 - RNZ - New uses of artificial intelli,6,6.6,Elucidating,
2025-02-16 - RNZ - Googles AI has been breaching,2,2.1,Informatory,"Doesn't clearly explain how AI could be learning the data and then reproducing it. Does mention that there's an age old challenge of people putting up information online and then others finding it, but doesn't explain the role of AI in this. Therefore, an informatory reference. "
2025-02-20 - TST - AI tech gives farmers meat qua,7,7.3,Informatory,
2025-02-25 - TAM - Te Matatini AI and online h,0,0,Informatory,
2025-02-26 - WAA - Angitū explores AI in Te Ma,6,6.3,Informatory,
2025-02-27 - GHT - More victims of actor romance,4,4.3,Quasi-scientific,
2025-02-28 - NZH - Outrage at university AI tutor,3,3.1,Elucidating,"States it is incorrect, but doesn't state why or how this arises. "
2025-02-28 - NZH - Outrage at university AI tutor,6,6.2,Elucidating,Seems to state that there's a decline in quality of (the university's service) as a result of jobs being lost to AI. 
2025-02-28 - NZH - Outrage at university AI tutor,6,6.6,Informatory,
2025-02-28 - RNZ - NZ police part of global opera,1,1.2,Elucidating,"Doesn't explain that AI can produce toxic content in relation to the data it was trained on, so doesn't build an understanding of how AI generates toxic content other than ""a tool exists that can do this."""
2025-03-01 - SCP - MPs Instructed To Remove Four,2,2,Elucidating,"Mentions the concern that the Chinese government can access sensitive data through the applications, but doesn't explain what this data is or how (is it collection or inference of private information from the use of TikTok / DeepSeek, or is it something more like the app itself accessing compromised parts of the network?) Therefore, I've classed this as Risk 2.0 without a subdomain. Gives a description of what the members of parliament can do about it (not use these apps on the Parliamentary network), but it doesn't actually explain how the privacy or security risk occurs... how do these apps actually cause a privacy/security concern?) Therefore, just defining the risk without explanation"
2025-03-01 - SCP - MPs Instructed To Remove Four,4,4.1,Elucidating,"States why there's a concern that sensitive data could be collected via the apps, but doesn't state why that would be a concern (it may be implied that foreign governments collecting information on our politicians is a risk, though. "
2025-03-01 - SCP - MPs Instructed To Remove Four,8,8.3,Elucidating,"States that data collected may be accessed by Chinese authorities, but doesn't explain why this could be harmful - the audience is expected to understand the risk of geopolitical conflict and data access. "
2025-03-02 - RNZ - Kiwi woman hands over biometri,2,2.2,Elucidating,States that there's a risk this data could be collected by third parties… 
2025-03-06 - DRV - Will AI replace car designers,6,6.3,Elucidating,
2025-03-06 - DRV - Will AI replace car designers,6,6.2,Quasi-scientific,
2025-03-06 - DRV - Will AI replace car designers,8,8.4,Informatory,
2025-03-08 - WHC - Liz first customer to be clone,0,0,Informatory,"""Some friends had questioned her decision"" seems to imply a risk or potential harm from using AI in this way, but that isn't spelled out in enough detail to gather what kind of harm, from the article. "
2025-03-08 - WHC - Liz first customer to be clone,4,4,Informatory,
2025-03-08 - WHC - Liz first customer to be clone,6,6.5,Informatory,
2025-03-09 - SCP - AI Could Enhance Democracy - E,2,2,Informatory,
2025-03-09 - SCP - AI Could Enhance Democracy - E,6,6.6,Informatory,
2025-03-14 - STF - Is AI in politics the final te,6,6.2,Elucidating,
2025-03-14 - STF - Is AI in politics the final te,3,3.2,Quasi-scientific,Gives clear reference to the possiblity that increased use of AI could make members of the public unsure whether they should believe what they are seeing and reading. 
2025-03-14 - STF - Is AI in politics the final te,0,0,Informatory,"Unclear what it means by ""in ways that are safe"""
2025-03-14 - STF - Is AI in politics the final te,5,5.2,Informatory,
2025-03-14 - STF - Is AI in politics the final te,7,7.4,Informatory,
2025-03-18 - RNZ - The future of warfare- Killer,5,5.2,Elucidating,"Doesn't explain the role of automation or lock-in of automated systems, here, but does explain that harm could airse if an automated system shows a bias. Borderline. "
2025-03-18 - RNZ - The future of warfare- Killer,7,7.2,Quasi-scientific,"""The integration is now going further with AI, at a fast pace."" Doesn't really link to potential harms from AI having these capabilities, such as AI being non-robust in a task that involves using weapons against humans. "
2025-03-18 - RNZ - The future of warfare- Killer,6,6.4,Informatory,"Doesn't explain an AI race where people are cutting corners, merely states that the progress is fast, and also states that there is potential for dangerous deployment because systems currently show marked bias towards escalation in crisis scenarios. "
2025-03-18 - RNZ - The future of warfare- Killer,6,6.5,Informatory,"References that there's currently a struggle to regulate this tech, without explaining exactly why. "
2025-03-19 - RNZ - Online safety fears- Its reall,6,6.5,Elucidating,"States that our policy hasn't been moving fast enough, without explaining why. "
2025-03-19 - RNZ - Online safety fears- Its reall,3,3,Informatory,Assumes that the author knows why Facebook is being blamed for increased misinformation (i.e. that their algorithm promote it due to engagement) so this is merely informatory. 
2025-03-19 - RNZ - Online safety fears- Its reall,4,4,Informatory,
2025-03-19 - SCP - Where Does NZ Stand On Killer,7,7.2,Quasi-scientific,"States that damage increases from AI having these capabilities. Doesn't really link to potential harms from AI having these capabilities, such as AI being non-robust in a task that involves using weapons against humans. "
2025-03-19 - SCP - Where Does NZ Stand On Killer,6,6.5,Quasi-scientific,
2025-03-20 - RNZ - Could speed cameras be used to,8,8.1,Informatory,"Doesn't state that it's an issue for it to be in Aus, though implies it through the requirement to be stored in NZ when the new data center has been built. Doesn't actually define an issue of national data sovereignty. "
2025-03-20 - RNZ - Could speed cameras be used to,2,2.2,Informatory,
2025-03-20 - RNZ - Military robots and thinking t,6,6.5,Elucidating,"References that current international efforts to regulate AI for warfare have been slow, and states that this is because of financial imperitives. Doesn't explain this in much detail, though. "
2025-03-20 - RNZ - Military robots and thinking t,7,7.2,Quasi-scientific,
2025-03-20 - RNZ - Military robots and thinking t,6,6.4,Quasi-scientific,"Clearly explains that there is an imperitive to keep up with overseas developments in AI and retain our interoperability and key technologies for defense, and also notes that this is playing out when there's a race to secure IP and global market share. Helps the reader understand why companies are racing by linking it to military an financial stakes. "
2025-03-20 - RNZ - Military robots and thinking t,4,4.1,Informatory,
2025-03-20 - RNZ - Military robots and thinking t,4,4.2,Informatory,
2025-03-20 - WKT - Good luck getting a job withou,6,6.1,Elucidating,Only states that people who don't suit the algorithms may be disadvantaged; doesn't draw attention to a wider trend of reinforcing systemic inequality and concentrating power towards AI companies. 
2025-03-20 - WKT - Good luck getting a job withou,7,7.3,Elucidating,
2025-03-20 - WKT - Good luck getting a job withou,1,1,Informatory,"Explains a consequence of Risk 1.1 occuring, but doesn't explain Risk 1.1. itself and how it arises. "
2025-03-20 - WKT - Good luck getting a job withou,2,2,Informatory,
2025-03-21 - RNZ - Podcast Levittown investigates,1,1.2,Elucidating,
2025-03-21 - RNZ - Podcast Levittown investigates,6,6.5,Elucidating,"The article approximately says: ""Laws are currently not good enough to prosecute something that feels like it should be a crime; laws will need to be updated."" Doesn't draw attention to why these laws were outdated, which would be required to tip this into an explanatory reference. "
2025-03-21 - RNZ - Podcast Levittown investigates,4,4.3,Quasi-scientific,Gives quite detailed explanation of how this could be misuse using AI. 
